Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/13/2020,02/15/2020,02/15/2020,By week,Hawaii,Week-ending,0,277,1.15,22,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Hawaii,Week-ending,0,245,1.06,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Hawaii,Week-ending,0,237,0.94,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Hawaii,Week-ending,0,242,0.98,17,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Hawaii,Week-ending,0,209,0.94,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Hawaii,Week-ending,0,230,0.95,14,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Hawaii,Week-ending,,231,0.99,14,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Hawaii,Week-ending,,207,0.93,13,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Hawaii,Week-ending,,192,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Hawaii,Week-ending,,191,0.88,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Hawaii,Week-ending,0,158,0.73,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Hawaii,Week-ending,0,57,0.25,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Idaho,Week-ending,0,249,0.88,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Idaho,Week-ending,0,293,1.04,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Idaho,Week-ending,0,279,0.89,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Idaho,Week-ending,0,318,1.1,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Idaho,Week-ending,0,289,0.99,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Idaho,Week-ending,0,278,0.96,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Idaho,Week-ending,0,284,1.04,18,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Idaho,Week-ending,0,308,1.03,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Idaho,Week-ending,,332,1.27,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Idaho,Week-ending,,270,0.94,15,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Idaho,Week-ending,21,302,1.05,17,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Idaho,Week-ending,11,276,0.99,13,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Idaho,Week-ending,11,245,0.94,15,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Idaho,Week-ending,,184,0.7,10,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Idaho,Week-ending,,115,0.44,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Illinois,Week-ending,0,"2,137",0.97,155,0,16,171,
05/13/2020,02/08/2020,02/08/2020,By week,Illinois,Week-ending,0,"2,228",0.98,157,0,10,167,
05/13/2020,02/15/2020,02/15/2020,By week,Illinois,Week-ending,0,"2,217",1.01,143,0,11,154,
05/13/2020,02/22/2020,02/22/2020,By week,Illinois,Week-ending,0,"2,203",1,143,0,14,157,
05/13/2020,02/29/2020,02/29/2020,By week,Illinois,Week-ending,0,"2,208",1.04,137,0,19,156,
05/13/2020,03/07/2020,03/07/2020,By week,Illinois,Week-ending,0,"2,246",1.06,169,0,27,196,
05/13/2020,03/14/2020,03/14/2020,By week,Illinois,Week-ending,,"2,179",1.03,165,,20,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Illinois,Week-ending,13,"2,264",1.05,165,,22,195,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Illinois,Week-ending,67,"2,278",1.09,229,42,16,269,
05/13/2020,04/04/2020,04/04/2020,By week,Illinois,Week-ending,272,"2,583",1.23,349,158,,469,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Illinois,Week-ending,426,"2,809",1.36,405,231,,605,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Illinois,Week-ending,511,"2,777",1.39,466,286,,695,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Illinois,Week-ending,506,"2,732",1.36,376,245,,638,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Illinois,Week-ending,365,"2,249",1.11,309,185,0,489,
05/13/2020,05/09/2020,05/09/2020,By week,Illinois,Week-ending,59,"1,248",0.64,96,33,0,122,
05/13/2020,02/01/2020,02/01/2020,By week,Indiana,Week-ending,0,"1,365",0.99,95,0,,102,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Indiana,Week-ending,0,"1,358",0.95,106,0,10,116,
05/13/2020,02/15/2020,02/15/2020,By week,Indiana,Week-ending,0,"1,407",1.05,92,0,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Indiana,Week-ending,0,"1,392",1.01,105,0,13,118,
05/13/2020,02/29/2020,02/29/2020,By week,Indiana,Week-ending,0,"1,432",1.08,105,0,17,122,
05/13/2020,03/07/2020,03/07/2020,By week,Indiana,Week-ending,0,"1,343",1,94,0,14,108,
05/13/2020,03/14/2020,03/14/2020,By week,Indiana,Week-ending,,"1,372",1.01,112,0,14,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Indiana,Week-ending,13,"1,293",0.97,93,,13,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Indiana,Week-ending,47,"1,429",1.07,128,23,14,165,
05/13/2020,04/04/2020,04/04/2020,By week,Indiana,Week-ending,126,"1,505",1.14,212,74,,269,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Indiana,Week-ending,203,"1,534",1.18,229,108,,327,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Indiana,Week-ending,222,"1,383",1.1,202,106,0,318,
05/13/2020,04/25/2020,04/25/2020,By week,Indiana,Week-ending,205,"1,347",1.08,190,89,,307,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Indiana,Week-ending,98,901,0.72,100,40,,161,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Indiana,Week-ending,10,242,0.19,15,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Iowa,Week-ending,0,612,0.97,54,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Iowa,Week-ending,0,632,1.02,42,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Iowa,Week-ending,0,595,0.92,36,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Iowa,Week-ending,0,639,1,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Iowa,Week-ending,0,638,1.05,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Iowa,Week-ending,0,614,1.02,42,0,13,55,
05/13/2020,03/14/2020,03/14/2020,By week,Iowa,Week-ending,0,627,1.03,51,0,17,68,
05/13/2020,03/21/2020,03/21/2020,By week,Iowa,Week-ending,0,587,0.94,35,0,16,51,
05/13/2020,03/28/2020,03/28/2020,By week,Iowa,Week-ending,,588,1.01,51,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Iowa,Week-ending,16,594,1.02,56,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Iowa,Week-ending,21,574,0.96,39,,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Iowa,Week-ending,35,596,1.03,44,,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Iowa,Week-ending,39,512,0.88,37,,0,68,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Iowa,Week-ending,40,467,0.79,29,,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Iowa,Week-ending,10,200,0.36,13,0,0,23,
05/13/2020,02/01/2020,02/01/2020,By week,Kansas,Week-ending,0,546,0.98,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Kansas,Week-ending,0,502,0.91,26,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Kansas,Week-ending,0,572,1,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Kansas,Week-ending,0,557,0.98,36,0,10,46,
05/13/2020,02/29/2020,02/29/2020,By week,Kansas,Week-ending,0,539,0.99,32,0,14,46,
05/13/2020,03/07/2020,03/07/2020,By week,Kansas,Week-ending,0,571,1.01,40,0,14,54,
05/13/2020,03/14/2020,03/14/2020,By week,Kansas,Week-ending,,519,0.94,45,0,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Kansas,Week-ending,,510,0.95,27,0,15,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Kansas,Week-ending,,513,0.98,41,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Kansas,Week-ending,21,534,1.06,41,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Kansas,Week-ending,32,506,0.99,56,13,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Kansas,Week-ending,38,527,1.08,42,20,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Kansas,Week-ending,12,499,1.04,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Kansas,Week-ending,14,414,0.85,23,,0,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Kansas,Week-ending,,186,0.38,,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Kentucky,Week-ending,0,969,0.98,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Kentucky,Week-ending,0,944,0.94,92,0,10,102,
05/13/2020,02/15/2020,02/15/2020,By week,Kentucky,Week-ending,0,939,0.97,77,0,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Kentucky,Week-ending,0,971,0.97,80,0,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Kentucky,Week-ending,,992,0.99,86,,10,96,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Kentucky,Week-ending,0,961,0.96,75,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Kentucky,Week-ending,0,970,1.01,84,0,14,98,
05/13/2020,03/21/2020,03/21/2020,By week,Kentucky,Week-ending,,887,0.93,76,,13,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Kentucky,Week-ending,,869,0.9,72,,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Kentucky,Week-ending,43,962,1.03,107,28,,126,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Kentucky,Week-ending,42,885,0.93,96,26,,116,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Kentucky,Week-ending,45,779,0.83,77,21,0,101,
05/13/2020,04/25/2020,04/25/2020,By week,Kentucky,Week-ending,36,637,0.68,72,16,,93,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Kentucky,Week-ending,,421,0.47,23,0,,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Kentucky,Week-ending,,126,0.14,10,0,0,11,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Louisiana,Week-ending,0,963,1,41,0,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Louisiana,Week-ending,0,936,0.96,35,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Louisiana,Week-ending,0,921,0.99,41,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Louisiana,Week-ending,0,901,0.97,34,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Louisiana,Week-ending,0,962,1.09,43,0,11,54,
05/13/2020,03/07/2020,03/07/2020,By week,Louisiana,Week-ending,,923,1.05,47,,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Louisiana,Week-ending,0,912,1,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Louisiana,Week-ending,35,867,0.95,67,19,,87,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Louisiana,Week-ending,159,"1,122",1.25,110,55,,218,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Louisiana,Week-ending,308,"1,202",1.32,188,125,,372,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Louisiana,Week-ending,356,"1,263",1.5,195,151,,401,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Louisiana,Week-ending,267,"1,032",1.22,167,128,,308,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Louisiana,Week-ending,158,772,0.85,103,73,0,188,
05/13/2020,05/02/2020,05/02/2020,By week,Louisiana,Week-ending,55,449,0.53,41,27,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Louisiana,Week-ending,12,130,0.15,14,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Maine,Week-ending,0,288,1.04,19,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Maine,Week-ending,0,316,1.07,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Maine,Week-ending,0,329,1.14,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/22/2020,02/22/2020,By week,Maine,Week-ending,0,299,0.99,18,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Maine,Week-ending,0,292,1.04,25,0,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/07/2020,03/07/2020,By week,Maine,Week-ending,0,313,1.03,30,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Maine,Week-ending,0,301,0.98,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Maine,Week-ending,0,277,0.95,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Maine,Week-ending,,279,0.9,31,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/04/2020,04/04/2020,By week,Maine,Week-ending,,300,1,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Maine,Week-ending,,304,1,31,,0,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Maine,Week-ending,10,310,1.12,23,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Maine,Week-ending,17,280,0.95,16,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Maine,Week-ending,,266,1,12,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Maine,Week-ending,,176,0.66,12,0,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/01/2020,02/01/2020,By week,Maryland,Week-ending,0,"1,034",0.99,68,0,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/08/2020,02/08/2020,By week,Maryland,Week-ending,0,"1,003",0.95,62,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Maryland,Week-ending,0,"1,018",0.99,71,0,12,83,
05/13/2020,02/22/2020,02/22/2020,By week,Maryland,Week-ending,0,966,0.94,62,0,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Maryland,Week-ending,0,"1,069",1.04,74,0,10,84,
05/13/2020,03/07/2020,03/07/2020,By week,Maryland,Week-ending,0,"1,042",1.04,79,0,11,90,
05/13/2020,03/14/2020,03/14/2020,By week,Maryland,Week-ending,0,"1,003",1,65,0,13,78,
05/13/2020,03/21/2020,03/21/2020,By week,Maryland,Week-ending,,"1,054",1.06,81,,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Maryland,Week-ending,18,"1,086",1.08,101,10,10,119,
05/13/2020,04/04/2020,04/04/2020,By week,Maryland,Week-ending,91,"1,175",1.19,153,44,,206,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/11/2020,04/11/2020,By week,Maryland,Week-ending,214,"1,330",1.33,178,89,10,309,
05/13/2020,04/18/2020,04/18/2020,By week,Maryland,Week-ending,286,"1,308",1.38,203,116,,374,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Maryland,Week-ending,321,"1,367",1.46,170,101,,391,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Maryland,Week-ending,252,"1,102",1.16,142,86,,308,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Maryland,Week-ending,44,511,0.56,46,17,0,73,
05/13/2020,02/01/2020,02/01/2020,By week,Massachusetts,Week-ending,0,"1,200",0.94,104,0,14,118,
05/13/2020,02/08/2020,02/08/2020,By week,Massachusetts,Week-ending,0,"1,231",0.97,92,0,13,105,
05/13/2020,02/15/2020,02/15/2020,By week,Massachusetts,Week-ending,0,"1,247",0.95,92,0,14,106,
05/13/2020,02/22/2020,02/22/2020,By week,Massachusetts,Week-ending,,"1,164",0.94,87,0,17,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/29/2020,02/29/2020,By week,Massachusetts,Week-ending,0,"1,275",1.02,100,0,21,121,
05/13/2020,03/07/2020,03/07/2020,By week,Massachusetts,Week-ending,,"1,212",0.99,86,0,16,103,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/14/2020,03/14/2020,By week,Massachusetts,Week-ending,0,"1,305",1.13,93,0,15,108,
05/13/2020,03/21/2020,03/21/2020,By week,Massachusetts,Week-ending,,"1,162",1.01,107,,11,121,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Massachusetts,Week-ending,41,"1,278",1.06,133,16,11,167,
05/13/2020,04/04/2020,04/04/2020,By week,Massachusetts,Week-ending,214,"1,534",1.27,251,114,11,361,
05/13/2020,04/11/2020,04/11/2020,By week,Massachusetts,Week-ending,605,"2,003",1.69,365,223,,749,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/18/2020,04/18/2020,By week,Massachusetts,Week-ending,"1,017","2,390",2.08,468,330,,"1,159",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,04/25/2020,04/25/2020,By week,Massachusetts,Week-ending,"1,035","2,307",2.08,495,372,,"1,159",One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/02/2020,05/02/2020,By week,Massachusetts,Week-ending,644,"1,672",1.47,292,217,,719,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,05/09/2020,05/09/2020,By week,Massachusetts,Week-ending,163,723,0.67,102,57,0,208,
05/13/2020,02/01/2020,02/01/2020,By week,Michigan,Week-ending,0,"1,999",1.02,116,0,12,128,
05/13/2020,02/08/2020,02/08/2020,By week,Michigan,Week-ending,0,"1,927",0.95,132,0,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,02/15/2020,02/15/2020,By week,Michigan,Week-ending,0,"2,007",1.02,110,0,18,128,
05/13/2020,02/22/2020,02/22/2020,By week,Michigan,Week-ending,0,"2,051",1.04,131,0,27,158,
05/13/2020,02/29/2020,02/29/2020,By week,Michigan,Week-ending,0,"1,957",0.98,98,0,26,124,
05/13/2020,03/07/2020,03/07/2020,By week,Michigan,Week-ending,0,"1,964",0.99,110,0,25,135,
05/13/2020,03/14/2020,03/14/2020,By week,Michigan,Week-ending,,"1,924",0.98,132,,25,157,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/21/2020,03/21/2020,By week,Michigan,Week-ending,15,"1,978",1.02,130,,30,170,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/13/2020,03/28/2020,03/28/2020,By week,Michigan,Week-ending,195,"2,337",1.21,260,94,23,384,
